id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3254,Executive Assistant,NADIM,Abu Rawash,Full Time,Experienced,2-5 Yrs of Exp,Giza,Administration- Office Management- Secretary- English- Administration
3255,Google Analytics & Google Tag Specialist,Deal,Alexandria,Full Time,Part Time,1+ Yrs of Exp,Egypt,1+ Yrs of Exp- SEO- Digital Marketing- Social Media- Search Engine- Google Analytics- SEM- Google Tag Manager- GTM
3256,Sales Team Leader,JIT International Logistics,Cairo,Full Time,Manager,6-15 Yrs of Exp,Egypt,Sales Target- English- Logistics- Supply Chain- Freight Service- Logistics/Supply Chain- Sales/Retail
3257,Senior Site Engineer,Wadi Degla Group,Maadi,Full Time,Experienced,7-9 Yrs of Exp,Cairo,Site- Project Management- Engineering - Construction/Civil/Architecture- Project/Program Management
3258,Senior Real Estate Sales Consultant,Elyasmen & Jamar For Real Estate,New Cairo,Full Time,Shift Based,2-5 Yrs of Exp,Cairo,6 Vacancies- Brokerage- Real Estate Broker- Property Consultant- Sales Skills- Sales Target- Properties- Microsoft Office
3259,Operation Accountant - Alexandria,EGIC,Alexandria,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,Finance- Accounting- Commerce- Budget- Reporting- Payroll- AR- Accounts Receivables- Cash- Treasury- Operations- Audit
3260,PHP Developer,The Micro- Small & Medium Enterprise Development Agency,Dokki,Full Time,Experienced,2-5 Yrs of Exp,Giza,Computer Science- Software Development- PHP- javaScript- HTML- MySQL- jQuery- AJAX- XML- Communication Skills
3261,User Experience (UX) Designer,Deal,Alexandria,Full Time,Part Time,3+ Yrs of Exp,Egypt,3+ Yrs of Exp- UI/UX- Sketch- Adobe XD- Wireframes- UX- Information Technology (IT)- Computer Science- Prototypes
3262,Technical Support Engineer,ARPUPLUS,Agouza,Full Time,Entry Level,1-2 Yrs of Exp,Giza,Information Technology (IT)- RBT- Linux- Windows- IVR- SLA- Customer Care- Troubleshooting- Computer Science- MCSA- MSSQL
3263,Front Office Admin,New Plan,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Administration- Microsoft Office- English- Hospitality- Office Management- Real Estate- Customer Service- Customer Support
3264,Data Architect - Saudi Arabia,Altayar recruitment,Riyadh,Full Time,Experienced,2+ Yrs of Exp,Saudi Arabia,Computer Science- Computer Engineering- Database- IT/Software Development- Engineering - Telecom/Technology
3265,Customer Service Agent,Confidential,Giza,Full Time,Shift Based,0-2 Yrs of Exp,Giza,7 Vacancies- Customer Support- Customer Service- Communication- English- Customer Care- Presentation Skills- Call Center
